"Read_code","Term","Disease"
"B711100","Benign neoplasm of pylorus of stomach","Benign neoplasm Gastrointestinal Tract"
"B711300","Benign neoplasm of body of stomach","Benign neoplasm Gastrointestinal Tract"
"B711400","Benign neoplasm of pyloric antrum","Benign neoplasm Gastrointestinal Tract"
"B711z00","Benign neoplasm of stomach NOS","Benign neoplasm Gastrointestinal Tract"
"B712000","Benign neoplasm of duodenum","Benign neoplasm Gastrointestinal Tract"
"B712011","Duodenal polyp","Benign neoplasm Gastrointestinal Tract"
"B712100","Benign neoplasm of jejunum","Benign neoplasm Gastrointestinal Tract"
"B712111","Jejunal polyp","Benign neoplasm Gastrointestinal Tract"
"B712200","Benign neoplasm of ileum","Benign neoplasm Gastrointestinal Tract"
"B712z00","Benign neoplasm of small intestine or duodenum NOS","Benign neoplasm Gastrointestinal Tract"
"B713.00","Benign neoplasm of colon","Benign neoplasm Gastrointestinal Tract"
"B713000","Benign neoplasm of hepatic flexure of colon","Benign neoplasm Gastrointestinal Tract"
"B713100","Benign neoplasm of transverse colon","Benign neoplasm Gastrointestinal Tract"
"B713200","Benign neoplasm of descending colon","Benign neoplasm Gastrointestinal Tract"
"B713300","Benign neoplasm of sigmoid colon","Benign neoplasm Gastrointestinal Tract"
"B713400","Benign neoplasm of caecum","Benign neoplasm Gastrointestinal Tract"
"B713500","Benign neoplasm of appendix","Benign neoplasm Gastrointestinal Tract"
"B713600","Benign neoplasm of ascending colon","Benign neoplasm Gastrointestinal Tract"
"B713700","Benign neoplasm of splenic flexure of colon","Benign neoplasm Gastrointestinal Tract"
"B713900","Benign neoplasm of ileocaecal valve","Benign neoplasm Gastrointestinal Tract"
"B713z00","Benign neoplasm of colon NOS","Benign neoplasm Gastrointestinal Tract"
"B714.00","Benign neoplasm of rectum and anal canal","Benign neoplasm Gastrointestinal Tract"
"B714000","Benign neoplasm of rectosigmoid junction","Benign neoplasm Gastrointestinal Tract"
"B714100","Benign neoplasm of rectum","Benign neoplasm Gastrointestinal Tract"
"B714111","Benign papilloma rectum","Benign neoplasm Gastrointestinal Tract"
"B714200","Benign neoplasm of anal canal","Benign neoplasm Gastrointestinal Tract"
"B714300","Benign neoplasm of anus NOS","Benign neoplasm Gastrointestinal Tract"
"B714z00","Benign neoplasm of rectum or anal canal NOS","Benign neoplasm Gastrointestinal Tract"
"B7H2200","Benign neoplasm of sella turcica","Benign neoplasm Gastrointestinal Tract"
"J177.00","Gastric polyp","Benign neoplasm Gastrointestinal Tract"
"J177.11","Polyp of stomach","Benign neoplasm Gastrointestinal Tract"
"J178.00","Duodenal polyp","Benign neoplasm Gastrointestinal Tract"
"J178.11","Polyp of duodenum","Benign neoplasm Gastrointestinal Tract"
"B711.00","Benign neoplasm of stomach","Benign neoplasm Gastrointestinal Tract"
"B711200","Benign neoplasm of fundus of stomach","Benign neoplasm Gastrointestinal Tract"
"E117000","Unspecified bipolar affective disorder, unspecified","Bipolar affective Disorder and Mania"
"146D.00","H/O: manic depressive disorder","Bipolar affective Disorder and Mania"
"1S42.00","Manic mood","Bipolar affective Disorder and Mania"
"212V.00","Bipolar affective disorder resolved","Bipolar affective Disorder and Mania"
"E11..11","Bipolar psychoses","Bipolar affective Disorder and Mania"
"E110.00","Manic disorder, single episode","Bipolar affective Disorder and Mania"
"E110000","Single manic episode, unspecified","Bipolar affective Disorder and Mania"
"E110100","Single manic episode, mild","Bipolar affective Disorder and Mania"
"E110200","Single manic episode, moderate","Bipolar affective Disorder and Mania"
"E110300","Single manic episode, severe without mention of psychosis","Bipolar affective Disorder and Mania"
"E110400","Single manic episode, severe, with psychosis","Bipolar affective Disorder and Mania"
"E110500","Single manic episode in partial or unspecified remission","Bipolar affective Disorder and Mania"
"E110600","Single manic episode in full remission","Bipolar affective Disorder and Mania"
"E110z00","Manic disorder, single episode NOS","Bipolar affective Disorder and Mania"
"E111.00","Recurrent manic episodes","Bipolar affective Disorder and Mania"
"E111000","Recurrent manic episodes, unspecified","Bipolar affective Disorder and Mania"
"E111100","Recurrent manic episodes, mild","Bipolar affective Disorder and Mania"
"E111200","Recurrent manic episodes, moderate","Bipolar affective Disorder and Mania"
"E111300","Recurrent manic episodes, severe without mention psychosis","Bipolar affective Disorder and Mania"
"E111400","Recurrent manic episodes, severe, with psychosis","Bipolar affective Disorder and Mania"
"E111600","Recurrent manic episodes, in full remission","Bipolar affective Disorder and Mania"
"E111z00","Recurrent manic episode NOS","Bipolar affective Disorder and Mania"
"E114.11","Manic-depressive - now manic","Bipolar affective Disorder and Mania"
"E114000","Bipolar affective disorder, currently manic, unspecified","Bipolar affective Disorder and Mania"
"E114100","Bipolar affective disorder, currently manic, mild","Bipolar affective Disorder and Mania"
"E114200","Bipolar affective disorder, currently manic, moderate","Bipolar affective Disorder and Mania"
"E114z00","Bipolar affective disorder, currently manic, NOS","Bipolar affective Disorder and Mania"
"E115.11","Manic-depressive - now depressed","Bipolar affective Disorder and Mania"
"E115000","Bipolar affective disorder, currently depressed, unspecified","Bipolar affective Disorder and Mania"
"E115100","Bipolar affective disorder, currently depressed, mild","Bipolar affective Disorder and Mania"
"E115200","Bipolar affective disorder, currently depressed, moderate","Bipolar affective Disorder and Mania"
"E115z00","Bipolar affective disorder, currently depressed, NOS","Bipolar affective Disorder and Mania"
"E116.00","Mixed bipolar affective disorder","Bipolar affective Disorder and Mania"
"E116000","Mixed bipolar affective disorder, unspecified","Bipolar affective Disorder and Mania"
"E116100","Mixed bipolar affective disorder, mild","Bipolar affective Disorder and Mania"
"E116200","Mixed bipolar affective disorder, moderate","Bipolar affective Disorder and Mania"
"E116300","Mixed bipolar affective disorder, severe, without psychosis","Bipolar affective Disorder and Mania"
"E116400","Mixed bipolar affective disorder, severe, with psychosis","Bipolar affective Disorder and Mania"
"E116600","Mixed bipolar affective disorder, in full remission","Bipolar affective Disorder and Mania"
"E116z00","Mixed bipolar affective disorder, NOS","Bipolar affective Disorder and Mania"
"E117.00","Unspecified bipolar affective disorder","Bipolar affective Disorder and Mania"
"E117100","Unspecified bipolar affective disorder, mild","Bipolar affective Disorder and Mania"
"E117200","Unspecified bipolar affective disorder, moderate","Bipolar affective Disorder and Mania"
"E117300","Unspecified bipolar affective disorder, severe, no psychosis","Bipolar affective Disorder and Mania"
"E117500","Unspecified bipolar affect disord, partial/unspec remission","Bipolar affective Disorder and Mania"
"E117600","Unspecified bipolar affective disorder, in full remission","Bipolar affective Disorder and Mania"
"E117z00","Unspecified bipolar affective disorder, NOS","Bipolar affective Disorder and Mania"
"E11y.00","Other and unspecified manic-depressive psychoses","Bipolar affective Disorder and Mania"
"E11y000","Unspecified manic-depressive psychoses","Bipolar affective Disorder and Mania"
"E11y100","Atypical manic disorder","Bipolar affective Disorder and Mania"
"E11y300","Other mixed manic-depressive psychoses","Bipolar affective Disorder and Mania"
"E11yz00","Other and unspecified manic-depressive psychoses NOS","Bipolar affective Disorder and Mania"
"Eu30100","[X]Mania without psychotic symptoms","Bipolar affective Disorder and Mania"
"Eu30200","[X]Mania with psychotic symptoms","Bipolar affective Disorder and Mania"
"Eu30y00","[X]Other manic episodes","Bipolar affective Disorder and Mania"
"Eu30z00","[X]Manic episode, unspecified","Bipolar affective Disorder and Mania"
"Eu31.13","[X]Manic-depressive reaction","Bipolar affective Disorder and Mania"
"Eu31700","[X]Bipolar affective disorder, currently in remission","Bipolar affective Disorder and Mania"
"Eu31800","[X]Bipolar affective disorder type I","Bipolar affective Disorder and Mania"
"Eu31y00","[X]Other bipolar affective disorders","Bipolar affective Disorder and Mania"
"Eu31y12","[X]Recurrent manic episodes","Bipolar affective Disorder and Mania"
"Eu31z00","[X]Bipolar affective disorder, unspecified","Bipolar affective Disorder and Mania"
"ZV11111","[V]Personal history of manic-depressive psychosis","Bipolar affective Disorder and Mania"
"ZV11112","[V]Personal history of manic-depressive psychosis","Bipolar affective Disorder and Mania"
"F246111","Atonic bladder","Bladder Dysfunction"
"F246112","Neurogenic bladder","Bladder Dysfunction"
"K164.00","Atony of bladder","Bladder Dysfunction"
"K164.11","Atonic bladder","Bladder Dysfunction"
"K164000","Hypotonic bladder","Bladder Dysfunction"
"K164100","Bladder inertia","Bladder Dysfunction"
"K164z00","Atony of bladder NOS","Bladder Dysfunction"
"K165.00","Other functional disorder of bladder","Bladder Dysfunction"
"K165000","Hypertonic bladder sphincter","Bladder Dysfunction"
"K165100","Bladder sphincter paralysis","Bladder Dysfunction"
"K165300","Detrusor instability","Bladder Dysfunction"
"K165400","Unstable bladder","Bladder Dysfunction"
"K165z00","Other bladder function disorder NOS","Bladder Dysfunction"
"K16V000","Neuropathic bladder","Bladder Dysfunction"
"K16V011","Neurogenic bladder","Bladder Dysfunction"
"K16V100","Overactive bladder","Bladder Dysfunction"
"K16W.00","Reflex neuropathic bladder, not elsewhere classified","Bladder Dysfunction"
"K16X.00","Uninhibited neuropathic bladder, NEC","Bladder Dysfunction"
"K16y400","Irritable bladder","Bladder Dysfunction"
"K16y411","Detrusor instability","Bladder Dysfunction"
"K16y412","Unstable bladder","Bladder Dysfunction"
"K16y800","Functional disorder of bladder","Bladder Dysfunction"
"K16y811","Functional voiding disorder","Bladder Dysfunction"
"Kyu5200","[X]Other neuromuscular dysfunction of bladder","Bladder Dysfunction"
"Kyu5E00","[X]Neuromuscular dysfunction of bladder, unspecified","Bladder Dysfunction"
"A115.00","Tuberculous bronchiectasis","Bronchiectasis"
"H34..00","Bronchiectasis","Bronchiectasis"
"H340.00","Recurrent bronchiectasis","Bronchiectasis"
"H341.00","Post-infective bronchiectasis","Bronchiectasis"
"H34z.00","Bronchiectasis NOS","Bronchiectasis"
"P861.00","Congenital bronchiectasis","Bronchiectasis"
"B62z100","Unspec malig neop lymphoid/histiocytic lymph node head/neck","Cancer Haematological"
"B62z.00","Malignant neoplasms of lymphoid and histiocytic tissue NOS","Cancer Haematological"
"B62yz00","Malignant lymphoma NOS","Cancer Haematological"
"B62y800","Malignant lymphoma NOS of lymph nodes of multiple sites","Cancer Haematological"
"B62y700","Malignant lymphoma NOS of spleen","Cancer Haematological"
"B62y300","Malignant lymphoma NOS of intra-abdominal lymph nodes","Cancer Haematological"
"B62y200","Malignant lymphoma NOS of intrathoracic lymph nodes","Cancer Haematological"
"B62y100","Malignant lymphoma NOS of lymph nodes of head, face and neck","Cancer Haematological"
"B62y000","Malignant lymphoma NOS of unspecified site","Cancer Haematological"
"B62xX00","Oth and unspecif peripheral & cutaneous T-cell lymphomas","Cancer Haematological"
"B62x600","True histiocytic lymphoma","Cancer Haematological"
"B62x500","Malignant immunoproliferative small intestinal disease","Cancer Haematological"
"B62x400","Malignant reticulosis","Cancer Haematological"
"B62x200","Peripheral T-cell lymphoma","Cancer Haematological"
"B62x100","Lymphoepithelioid lymphoma","Cancer Haematological"
"B62x000","T-zone lymphoma","Cancer Haematological"
"B62x.00","Malignant lymphoma otherwise specified","Cancer Haematological"
"B62F200","Lymphoblastic (diffuse) lymphoma","Cancer Haematological"
"B62F100","Mantle cell lymphoma","Cancer Haematological"
"B627W00","Unspecified B-cell non-Hodgkin's lymphoma","Cancer Haematological"
"B627E00","Diffuse large B-cell lymphoma","Cancer Haematological"
"B627D00","Diffuse non-Hodgkin's centroblastic lymphoma","Cancer Haematological"
"B627C00","Follicular non-Hodgkin's lymphoma","Cancer Haematological"
"B627B00","Other types of follicular non-Hodgkin's lymphoma","Cancer Haematological"
"B627A00","Diffuse non-Hodgkin's large cell lymphoma","Cancer Haematological"
"B627911","Maltoma","Cancer Haematological"
"B627900","Mucosa-associated lymphoma","Cancer Haematological"
"B627800","Diffuse non-Hodgkin's lymphoma undifferentiated (diffuse)","Cancer Haematological"
"B627600","Diffuse non-Hodgkin's immunoblastic (diffuse) lymphoma","Cancer Haematological"
"B627500","Diffuse non-Hodgkin mixed sml & lge cell (diffuse) lymphoma","Cancer Haematological"
"B627300","Diffuse non-Hodgkin's small cell (diffuse) lymphoma","Cancer Haematological"
"B627200","Follicular non-Hodgkin's large cell lymphoma","Cancer Haematological"
"B616700","Hodgkin's disease, lymphocytic depletion of spleen","Cancer Haematological"
"B627000","Follicular non-Hodgkin's small cleaved cell lymphoma","Cancer Haematological"
"B627.11","Non-Hodgkin lymphoma","Cancer Haematological"
"B627.00","Non - Hodgkin's lymphoma","Cancer Haematological"
"B626z00","Malignant mast cell tumour NOS","Cancer Haematological"
"B626800","Mast cell malignancy of lymph nodes of multiple sites","Cancer Haematological"
"B626500","Mast cell malignancy of lymph nodes inguinal region and leg","Cancer Haematological"
"B626000","Mast cell malignancy of unspecified site","Cancer Haematological"
"B626.00","Malignant mast cell tumours","Cancer Haematological"
"B625z00","Letterer-Siwe disease NOS","Cancer Haematological"
"B625800","Letterer-Siwe disease of lymph nodes of multiple sites","Cancer Haematological"
"B625200","Letterer-Siwe disease of intrathoracic lymph nodes","Cancer Haematological"
"B625000","Letterer-Siwe disease of unspecified sites","Cancer Haematological"
"B625.11","Histiocytosis X (acute, progressive)","Cancer Haematological"
"B624z00","Leukaemic reticuloendotheliosis NOS","Cancer Haematological"
"B624000","Leukaemic reticuloendotheliosis of unspecified sites","Cancer Haematological"
"B624.12","Hairy cell leukaemia","Cancer Haematological"
"B623z00","Malignant histiocytosis NOS","Cancer Haematological"
"B623300","Malignant histiocytosis of intra-abdominal lymph nodes","Cancer Haematological"
"B623100","Malignant histiocytosis of lymph nodes head, face and neck","Cancer Haematological"
"B623000","Malignant histiocytosis of unspecified site","Cancer Haematological"
"B623.00","Malignant histiocytosis","Cancer Haematological"
"B622z00","Sezary's disease NOS","Cancer Haematological"
"B622.00","Sezary's disease","Cancer Haematological"
"B621z00","Mycosis fungoides NOS","Cancer Haematological"
"B621800","Mycosis fungoides of lymph nodes of multiple sites","Cancer Haematological"
"B621500","Mycosis fungoides of lymph nodes of inguinal region and leg","Cancer Haematological"
"B621400","Mycosis fungoides of lymph nodes of axilla and upper limb","Cancer Haematological"
"B621300","Mycosis fungoides of intra-abdominal lymph nodes","Cancer Haematological"
"B621000","Mycosis fungoides of unspecified site","Cancer Haematological"
"B621.00","Mycosis fungoides","Cancer Haematological"
"B620z00","Nodular lymphoma NOS","Cancer Haematological"
"B620800","Nodular lymphoma of lymph nodes of multiple sites","Cancer Haematological"
"B620300","Nodular lymphoma of intra-abdominal lymph nodes","Cancer Haematological"
"B620100","Nodular lymphoma of lymph nodes of head, face and neck","Cancer Haematological"
"B620000","Nodular lymphoma of unspecified site","Cancer Haematological"
"B620.00","Nodular lymphoma (Brill - Symmers disease)","Cancer Haematological"
"B62..00","Other malignant neoplasm of lymphoid and histiocytic tissue","Cancer Haematological"
"B61zz00","Hodgkin's disease NOS","Cancer Haematological"
"B61z800","Hodgkin's disease NOS of lymph nodes of multiple sites","Cancer Haematological"
"B61z700","Hodgkin's disease NOS of spleen","Cancer Haematological"
"B61z200","Hodgkin's disease NOS of intrathoracic lymph nodes","Cancer Haematological"
"B61z100","Hodgkin's disease NOS of lymph nodes of head, face and neck","Cancer Haematological"
"B61z000","Hodgkin's disease NOS, unspecified site","Cancer Haematological"
"B616z00","Hodgkin's disease, lymphocytic depletion NOS","Cancer Haematological"
"B62y600","Malignant lymphoma NOS of intrapelvic lymph nodes","Cancer Haematological"
"B651.00","Chronic myeloid leukaemia","Cancer Haematological"
"B650.00","Acute myeloid leukaemia","Cancer Haematological"
"B641.00","Chronic lymphoid leukaemia","Cancer Haematological"
"B640.00","Acute lymphoid leukaemia","Cancer Haematological"
"B630400","Solitary plasmacytoma","Cancer Haematological"
"B630.00","Multiple myeloma","Cancer Haematological"
"B62zz11","Immunoproliferative neoplasm","Cancer Haematological"
"B62zz00","Lymphoid and histiocytic malignancy NOS","Cancer Haematological"
"B62z200","Unspec malig neop lymphoid/histiocytic of intrathoracic node","Cancer Haematological"
"B61..00","Hodgkin's disease","Cancer Haematological"
"B61..11","Hodgkin lymphoma","Cancer Haematological"
"B610.00","Hodgkin's paragranuloma","Cancer Haematological"
"B610300","Hodgkin's paragranuloma of intra-abdominal lymph nodes","Cancer Haematological"
"B611.00","Hodgkin's granuloma","Cancer Haematological"
"B611100","Hodgkin's granuloma of lymph nodes of head, face and neck","Cancer Haematological"
"B612.00","Hodgkin's sarcoma","Cancer Haematological"
"B612400","Hodgkin's sarcoma of lymph nodes of axilla and upper limb","Cancer Haematological"
"B613.00","Hodgkin's disease, lymphocytic-histiocytic predominance","Cancer Haematological"
"B613z00","Hodgkin's, lymphocytic-histiocytic predominance NOS","Cancer Haematological"
"B614.00","Hodgkin's disease, nodular sclerosis","Cancer Haematological"
"B614000","Hodgkin's disease, nodular sclerosis of unspecified site","Cancer Haematological"
"B614z00","Hodgkin's disease, nodular sclerosis NOS","Cancer Haematological"
"B615.00","Hodgkin's disease, mixed cellularity","Cancer Haematological"
"B615000","Hodgkin's disease, mixed cellularity of unspecified site","Cancer Haematological"
"B615z00","Hodgkin's disease, mixed cellularity NOS","Cancer Haematological"
"B616.00","Hodgkin's disease, lymphocytic depletion","Cancer Haematological"
"B616000","Hodgkin's lymphocytic depletion of unspecified site","Cancer Haematological"
"B35..00","Malignant neoplasm of male breast","Cancer Solid organ"
"B350.00","Malignant neoplasm of nipple and areola of male breast","Cancer Solid organ"
"B350000","Malignant neoplasm of nipple of male breast","Cancer Solid organ"
"B350100","Malignant neoplasm of areola of male breast","Cancer Solid organ"
"B35z.00","Malignant neoplasm of other site of male breast","Cancer Solid organ"
"B35z000","Malignant neoplasm of ectopic site of male breast","Cancer Solid organ"
"B35zz00","Malignant neoplasm of male breast NOS","Cancer Solid organ"
"B41..00","Malignant neoplasm of cervix uteri","Cancer Solid organ"
"B410.00","Malignant neoplasm of endocervix","Cancer Solid organ"
"B410000","Malignant neoplasm of endocervical canal","Cancer Solid organ"
"B410100","Malignant neoplasm of endocervical gland","Cancer Solid organ"
"B410z00","Malignant neoplasm of endocervix NOS","Cancer Solid organ"
"B411.00","Malignant neoplasm of exocervix","Cancer Solid organ"
"B412.00","Malignant neoplasm, overlapping lesion of cervix uteri","Cancer Solid organ"
"B41y.00","Malignant neoplasm of other site of cervix","Cancer Solid organ"
"B41y000","Malignant neoplasm of cervical stump","Cancer Solid organ"
"B41y100","Malignant neoplasm of squamocolumnar junction of cervix","Cancer Solid organ"
"B41yz00","Malignant neoplasm of other site of cervix NOS","Cancer Solid organ"
"B41z.00","Malignant neoplasm of cervix uteri NOS","Cancer Solid organ"
"B43..00","Malignant neoplasm of body of uterus","Cancer Solid organ"
"B430.00","Malignant neoplasm of corpus uteri, excluding isthmus","Cancer Solid organ"
"B430000","Malignant neoplasm of cornu of corpus uteri","Cancer Solid organ"
"B430100","Malignant neoplasm of fundus of corpus uteri","Cancer Solid organ"
"B430200","Malignant neoplasm of endometrium of corpus uteri","Cancer Solid organ"
"B430211","Malignant neoplasm of endometrium","Cancer Solid organ"
"B430300","Malignant neoplasm of myometrium of corpus uteri","Cancer Solid organ"
"B430z00","Malignant neoplasm of corpus uteri NOS","Cancer Solid organ"
"B431.00","Malignant neoplasm of isthmus of uterine body","Cancer Solid organ"
"B431000","Malignant neoplasm of lower uterine segment","Cancer Solid organ"
"B431z00","Malignant neoplasm of isthmus of uterine body NOS","Cancer Solid organ"
"B432.00","Malignant neoplasm of overlapping lesion of corpus uteri","Cancer Solid organ"
"B43y.00","Malignant neoplasm of other site of uterine body","Cancer Solid organ"
"B43z.00","Malignant neoplasm of body of uterus NOS","Cancer Solid organ"
"B470.00","Malignant neoplasm of undescended testis","Cancer Solid organ"
"B470200","Seminoma of undescended testis","Cancer Solid organ"
"B470300","Teratoma of undescended testis","Cancer Solid organ"
"B470z00","Malignant neoplasm of undescended testis NOS","Cancer Solid organ"
"B471.00","Malignant neoplasm of descended testis","Cancer Solid organ"
"B471000","Seminoma of descended testis","Cancer Solid organ"
"B471z00","Malignant neoplasm of descended testis NOS","Cancer Solid organ"
"B47z.00","Malignant neoplasm of testis NOS","Cancer Solid organ"
"B47z.11","Seminoma of testis","Cancer Solid organ"
"B49..00","Malignant neoplasm of urinary bladder","Cancer Solid organ"
"B490.00","Malignant neoplasm of trigone of urinary bladder","Cancer Solid organ"
"B491.00","Malignant neoplasm of dome of urinary bladder","Cancer Solid organ"
"B492.00","Malignant neoplasm of lateral wall of urinary bladder","Cancer Solid organ"
"B493.00","Malignant neoplasm of anterior wall of urinary bladder","Cancer Solid organ"
"B494.00","Malignant neoplasm of posterior wall of urinary bladder","Cancer Solid organ"
"B495.00","Malignant neoplasm of bladder neck","Cancer Solid organ"
"B496.00","Malignant neoplasm of ureteric orifice","Cancer Solid organ"
"B49y.00","Malignant neoplasm of other site of urinary bladder","Cancer Solid organ"
"B49y000","Malignant neoplasm, overlapping lesion of bladder","Cancer Solid organ"
"B49z.00","Malignant neoplasm of urinary bladder NOS","Cancer Solid organ"
"B4A..11","Renal malignant neoplasm","Cancer Solid organ"
"B4A0.00","Malignant neoplasm of kidney parenchyma","Cancer Solid organ"
"B4A0000","Hypernephroma","Cancer Solid organ"
"B4A1100","Malignant neoplasm of ureteropelvic junction","Cancer Solid organ"
"B4A1z00","Malignant neoplasm of renal pelvis NOS","Cancer Solid organ"
"B4Ay.00","Malignant neoplasm of other urinary organs","Cancer Solid organ"
"B4Ay000","Malignant neoplasm of overlapping lesion of urinary organs","Cancer Solid organ"
"B4Az.00","Malignant neoplasm of kidney or urinary organs NOS","Cancer Solid organ"
"B51..00","Malignant neoplasm of brain","Cancer Solid organ"
"B510000","Malignant neoplasm of basal ganglia","Cancer Solid organ"
"B510100","Malignant neoplasm of cerebral cortex","Cancer Solid organ"
"B510300","Malignant neoplasm of globus pallidus","Cancer Solid organ"
"B510400","Malignant neoplasm of hypothalamus","Cancer Solid organ"
"B510500","Malignant neoplasm of thalamus","Cancer Solid organ"
"B510z00","Malignant neoplasm of cerebrum NOS","Cancer Solid organ"
"B511.00","Malignant neoplasm of frontal lobe","Cancer Solid organ"
"B512.00","Malignant neoplasm of temporal lobe","Cancer Solid organ"
"B512000","Malignant neoplasm of hippocampus","Cancer Solid organ"
"B512z00","Malignant neoplasm of temporal lobe NOS","Cancer Solid organ"
"B513.00","Malignant neoplasm of parietal lobe","Cancer Solid organ"
"B514.00","Malignant neoplasm of occipital lobe","Cancer Solid organ"
"B515.00","Malignant neoplasm of cerebral ventricles","Cancer Solid organ"
"B515000","Malignant neoplasm of choroid plexus","Cancer Solid organ"
"B516.00","Malignant neoplasm of cerebellum","Cancer Solid organ"
"B517000","Malignant neoplasm of cerebral peduncle","Cancer Solid organ"
"B517100","Malignant neoplasm of medulla oblongata","Cancer Solid organ"
"B517200","Malignant neoplasm of midbrain","Cancer Solid organ"
"B517300","Malignant neoplasm of pons","Cancer Solid organ"
"B51y.00","Malignant neoplasm of other parts of brain","Cancer Solid organ"
"B51y000","Malignant neoplasm of corpus callosum","Cancer Solid organ"
"B51yz00","Malignant neoplasm of other part of brain NOS","Cancer Solid organ"
"B51z.00","Malignant neoplasm of brain NOS","Cancer Solid organ"
"ZV10415","[V]Personal history of malignant neoplasm of prostate","Cancer Solid organ"
"B323200","Malignant melanoma of eyebrow","Cancer Solid organ"
"4M0..00","Gleason grading of prostate cancer","Cancer Solid organ"
"4M00.00","Gleason prostate grade 2-4 (low)","Cancer Solid organ"
"4M01.00","Gleason prostate grade 5-7 (medium)","Cancer Solid organ"
"4M02.00","Gleason prostate grade 8-10 (high)","Cancer Solid organ"
"7B20000","Radical cystoprostatourethrectomy","Cancer Solid organ"
"7B20200","Radical cystoprostatectomy","Cancer Solid organ"
"7B36000","Radical prostatectomy - unspecified excision of pelvic nodes","Cancer Solid organ"
"7B36500","Radical prostatectomy without pelvic node excision","Cancer Solid organ"
"7B36600","Radical prostatectomy with pelvic node sampling","Cancer Solid organ"
"7B36700","Radical prostatectomy with pelvic lymphadenectomy","Cancer Solid organ"
"B0...00","Malignant neoplasm of lip, oral cavity and pharynx","Cancer Solid organ"
"B0...11","Carcinoma of lip, oral cavity and pharynx","Cancer Solid organ"
"B00..00","Malignant neoplasm of lip","Cancer Solid organ"
"B00..11","Carcinoma of lip","Cancer Solid organ"
"B000.00","Malignant neoplasm of upper lip, vermilion border","Cancer Solid organ"
"B000000","Malignant neoplasm of upper lip, external","Cancer Solid organ"
"B000100","Malignant neoplasm of upper lip, lipstick area","Cancer Solid organ"
"B000z00","Malignant neoplasm of upper lip, vermilion border NOS","Cancer Solid organ"
"B001.00","Malignant neoplasm of lower lip, vermilion border","Cancer Solid organ"
"B001000","Malignant neoplasm of lower lip, external","Cancer Solid organ"
"B001100","Malignant neoplasm of lower lip, lipstick area","Cancer Solid organ"
"B001z00","Malignant neoplasm of lower lip, vermilion border NOS","Cancer Solid organ"
"B002.00","Malignant neoplasm of upper lip, inner aspect","Cancer Solid organ"
"B002100","Malignant neoplasm of upper lip, frenulum","Cancer Solid organ"
"B002200","Malignant neoplasm of upper lip, mucosa","Cancer Solid organ"
"B002300","Malignant neoplasm of upper lip, oral aspect","Cancer Solid organ"
"B002z00","Malignant neoplasm of upper lip, inner aspect NOS","Cancer Solid organ"
"B003.00","Malignant neoplasm of lower lip, inner aspect","Cancer Solid organ"
"B003000","Malignant neoplasm of lower lip, buccal aspect","Cancer Solid organ"
"B003100","Malignant neoplasm of lower lip, frenulum","Cancer Solid organ"
"B003z00","Malignant neoplasm of lower lip, inner aspect NOS","Cancer Solid organ"
"B004.00","Malignant neoplasm of lip unspecified, inner aspect","Cancer Solid organ"
"B004200","Malignant neoplasm of lip unspecified, mucosa","Cancer Solid organ"
"B004300","Malignant neoplasm of lip, oral aspect","Cancer Solid organ"
"B005.00","Malignant neoplasm of commissure of lip","Cancer Solid organ"
"B006.00","Malignant neoplasm of overlapping lesion of lip","Cancer Solid organ"
"B007.00","Malignant neoplasm of lip, unspecified","Cancer Solid organ"
"B00z000","Malignant neoplasm of lip, unspecified, external","Cancer Solid organ"
"B00z100","Malignant neoplasm of lip, unspecified, lipstick area","Cancer Solid organ"
"B00zz00","Malignant neoplasm of lip, vermilion border NOS","Cancer Solid organ"
"B010.11","Malignant neoplasm of posterior third of tongue","Cancer Solid organ"
"B010000","Malignant neoplasm of base of tongue dorsal surface","Cancer Solid organ"
"B010z00","Malignant neoplasm of fixed part of tongue NOS","Cancer Solid organ"
"B011.00","Malignant neoplasm of dorsal surface of tongue","Cancer Solid organ"
"B011z00","Malignant neoplasm of dorsum of tongue NOS","Cancer Solid organ"
"B012.00","Malignant neoplasm of tongue, tip and lateral border","Cancer Solid organ"
"B013.00","Malignant neoplasm of ventral surface of tongue","Cancer Solid organ"
"B013000","Malignant neoplasm of anterior 2/3 of tongue ventral surface","Cancer Solid organ"
"B013100","Malignant neoplasm of frenulum linguae","Cancer Solid organ"
"B013z00","Malignant neoplasm of ventral tongue surface NOS","Cancer Solid organ"
"B014.00","Malignant neoplasm of anterior 2/3 of tongue unspecified","Cancer Solid organ"
"B015.00","Malignant neoplasm of tongue, junctional zone","Cancer Solid organ"
"B017.00","Malignant overlapping lesion of tongue","Cancer Solid organ"
"B01y.00","Malignant neoplasm of other sites of tongue","Cancer Solid organ"
"B01z.00","Malignant neoplasm of tongue NOS","Cancer Solid organ"
"B02..00","Malignant neoplasm of major salivary glands","Cancer Solid organ"
"B021.00","Malignant neoplasm of submandibular gland","Cancer Solid organ"
"B022.00","Malignant neoplasm of sublingual gland","Cancer Solid organ"
"B02y.00","Malignant neoplasm of other major salivary glands","Cancer Solid organ"
"B02z.00","Malignant neoplasm of major salivary gland NOS","Cancer Solid organ"
"B03y.00","Malignant neoplasm of other sites of gum","Cancer Solid organ"
"B03z.00","Malignant neoplasm of gum NOS","Cancer Solid organ"
"B040.00","Malignant neoplasm of anterior portion of floor of mouth","Cancer Solid organ"
